period,train_start,train_end,test_start,test_end,selected_candidate,selected_profile,selected_donchian,selected_donchian_exit,selected_volume_mult,selected_sl_atr_mult,selector_mode,profile_universe,train_score,train_trades,train_win_rate,train_return_pct,train_cagr_pct,train_max_dd_pct,train_max_dd_peak_pct,train_final_equity,test_trades,test_win_rate,test_return_pct,test_cagr_pct,test_max_dd_pct,test_max_dd_peak_pct,test_final_equity
1,2023-05-14 20:00:00,2024-09-25 16:00:00,2024-09-25 20:00:00,2024-12-18 00:00:00,growth_70_compound|D15|DX8|VOL1.2|SL1.5,growth_70_compound,15,8,1.2,1.5,risk_capped,"conservative,balanced,growth_70_compound",145.89792110206005,175,80.57142857142857,786.7585912583774,391.92392528829714,5.392527770892745,5.392527770892745,8867.585912583774,32,71.875,43.67538932427785,389.02924984644756,2.9527958484799077,2.9527958484799077,1436.7538932427785
2,2023-08-06 04:00:00,2024-12-18 00:00:00,2024-12-18 04:00:00,2025-03-11 08:00:00,growth_70_compound|D15|DX8|VOL1.2|SL1.5,growth_70_compound,15,8,1.2,1.5,risk_capped,"conservative,balanced,growth_70_compound",160.7341522020536,188,80.31914893617021,866.7633788737627,423.9426343455018,5.3925277671181115,5.3925277671181115,9667.633788737627,38,84.21052631578947,47.23062304909079,444.29193182607617,4.240510960434235,4.240510960434235,1472.3062304909079
3,2023-10-28 12:00:00,2025-03-11 08:00:00,2025-03-11 12:00:00,2025-06-02 16:00:00,growth_70_compound|D15|DX8|VOL1.2|SL1.5,growth_70_compound,15,8,1.2,1.5,risk_capped,"conservative,balanced,growth_70_compound",90.60259629792192,198,80.8080808080808,488.57701690392463,264.71733738561534,5.3925277736784984,5.3925277736784984,5885.770169039247,27,81.48148148148148,20.60745987237444,127.2055146712674,4.624702912880722,4.624702912880722,1206.0745987237444
4,2024-01-19 20:00:00,2025-06-02 16:00:00,2025-06-02 20:00:00,2025-08-25 00:00:00,growth_70_compound|D15|DX8|VOL1.2|SL1.5,growth_70_compound,15,8,1.2,1.5,risk_capped,"conservative,balanced,growth_70_compound",84.24463617940584,201,81.09452736318407,454.2915391454996,249.0831788354004,5.392527759014219,5.392527759014219,5542.915391454996,40,70.0,23.575304816761786,152.7323315364101,3.8874475969886433,3.8874475969886433,1235.7530481676179
5,2024-04-12 04:00:00,2025-08-25 00:00:00,2025-08-25 04:00:00,2025-11-16 08:00:00,growth_70_compound|D15|DX8|VOL1.2|SL1.5,growth_70_compound,15,8,1.2,1.5,risk_capped,"conservative,balanced,growth_70_compound",69.68362226871548,201,78.1094527363184,375.7708693945092,212.24854879649854,5.39252778716717,5.39252778716717,4757.708693945092,27,66.66666666666666,23.03219494321954,147.90325071203608,6.083298425766968,6.083298425766968,1230.3219494321954
6,2024-07-04 12:00:00,2025-11-16 08:00:00,2025-11-16 12:00:00,2026-02-07 16:00:00,growth_70_compound|D15|DX8|VOL1.2|SL2.0,growth_70_compound,15,8,1.2,2.0,risk_capped,"conservative,balanced,growth_70_compound",86.81821646092054,200,79.5,362.1301914919606,205.6877039720566,4.171131431327735,4.171131431327735,4621.301914919606,34,67.64705882352942,10.448131012327917,54.537422998096005,5.13312430981821,5.13312430981821,1104.4813101232792
7,2024-09-25 20:00:00,2026-02-07 16:00:00,2026-02-07 20:00:00,2026-05-02 00:00:00,growth_70_compound|D15|DX8|VOL1.5|SL2.0,growth_70_compound,15,8,1.5,2.0,risk_capped,"conservative,balanced,growth_70_compound",79.05093645573565,143,83.21678321678321,247.50272804182381,148.2558546910333,3.130927211474747,3.130927211474747,3475.027280418238,22,68.18181818181817,5.416128322857822,25.989087297851366,5.0450724177435635,5.0450724177435635,1054.1612832285782
