period,train_start,train_end,test_start,test_end,candidate,selected,profile,donchian,donchian_exit,volume_mult,sl_atr_mult,selector_mode,profile_universe,train_score,train_trades,train_win_rate,train_return_pct,train_cagr_pct,train_max_dd_pct,train_max_dd_peak_pct,train_final_equity,test_trades,test_win_rate,test_return_pct,test_cagr_pct,test_max_dd_pct,test_max_dd_peak_pct,test_final_equity
1,2023-05-14 20:00:00,2024-09-25 16:00:00,2024-09-25 20:00:00,2024-12-18 00:00:00,conservative|D15|DX8|VOL1.2|SL1.5,False,conservative,15,8,1.2,1.5,risk_capped,"conservative,balanced,growth_70_compound",75.21351135784832,175,80.57142857142857,202.79547387386705,124.51173536248636,2.6962638788264193,2.6962638788264193,3027.9547387386706,32,71.875,20.07826581653551,122.87127794692077,1.4805749804785524,1.4805749804785524,1200.782658165355
1,2023-05-14 20:00:00,2024-09-25 16:00:00,2024-09-25 20:00:00,2024-12-18 00:00:00,balanced|D15|DX8|VOL1.2|SL1.5,False,balanced,15,8,1.2,1.5,risk_capped,"conservative,balanced,growth_70_compound",103.91356679616412,175,80.57142857142857,420.26759626583043,233.30785421205667,4.044395830336797,4.044395830336797,5202.675962658304,32,71.875,31.405062296178134,230.7660923123263,2.2177296124798564,2.2177296124798564,1314.0506229617813
1,2023-05-14 20:00:00,2024-09-25 16:00:00,2024-09-25 20:00:00,2024-12-18 00:00:00,growth_70_compound|D15|DX8|VOL1.2|SL1.5,True,growth_70_compound,15,8,1.2,1.5,risk_capped,"conservative,balanced,growth_70_compound",145.89792110206005,175,80.57142857142857,786.7585912583774,391.92392528829714,5.392527770892745,5.392527770892745,8867.585912583774,32,71.875,43.67538932427785,389.02924984644756,2.9527958484799077,2.9527958484799077,1436.7538932427785
1,2023-05-14 20:00:00,2024-09-25 16:00:00,2024-09-25 20:00:00,2024-12-18 00:00:00,conservative|D15|DX8|VOL1.2|SL2.0,False,conservative,15,8,1.2,2.0,risk_capped,"conservative,balanced,growth_70_compound",65.84682309858407,174,82.18390804597702,137.64174356704424,88.11507193823363,2.0903323363219934,2.0903323363219934,2376.4174356704425,32,71.875,15.376458024083444,87.09980981333692,1.1112144747968082,1.1112144747968082,1153.7645802408344
1,2023-05-14 20:00:00,2024-09-25 16:00:00,2024-09-25 20:00:00,2024-12-18 00:00:00,balanced|D15|DX8|VOL1.2|SL2.0,False,balanced,15,8,1.2,2.0,risk_capped,"conservative,balanced,growth_70_compound",84.24161327413074,174,82.18390804597702,263.8353501218638,156.7205128398033,3.1318886221150213,3.1318886221150213,3638.3535012186385,32,71.875,22.82512158486841,146.0809234653516,1.6650594327851969,1.6650594327851969,1228.251215848684
1,2023-05-14 20:00:00,2024-09-25 16:00:00,2024-09-25 20:00:00,2024-12-18 00:00:00,growth_70_compound|D15|DX8|VOL1.2|SL2.0,False,growth_70_compound,15,8,1.2,2.0,risk_capped,"conservative,balanced,growth_70_compound",108.98588264636373,174,82.18390804597702,454.5944401000578,249.22242464733023,4.171131426031765,4.171131426031765,5545.944401000578,32,71.875,31.405062296178134,230.7660923123263,2.2177296124798564,2.2177296124798564,1314.0506229617813
1,2023-05-14 20:00:00,2024-09-25 16:00:00,2024-09-25 20:00:00,2024-12-18 00:00:00,conservative|D15|DX8|VOL1.2|SL2.5,False,conservative,15,8,1.2,2.5,risk_capped,"conservative,balanced,growth_70_compound",61.1381847503527,173,82.08092485549133,102.28703644110368,67.24636133607966,1.673046670567261,1.673046670567261,2022.870364411037,30,70.0,7.2037250423985135,35.61860027994588,0.7808367754948645,0.7808367754948645,1072.0372504239851
1,2023-05-14 20:00:00,2024-09-25 16:00:00,2024-09-25 20:00:00,2024-12-18 00:00:00,balanced|D15|DX8|VOL1.2|SL2.5,False,balanced,15,8,1.2,2.5,risk_capped,"conservative,balanced,growth_70_compound",74.34742551407778,173,82.65895953757226,186.40660347104225,115.57461029905997,2.507236830086953,2.507236830086953,2864.0660347104226,30,70.0,10.24734464657597,53.310692338446145,1.1700064099072092,1.1700064099072092,1102.4734464657597
1,2023-05-14 20:00:00,2024-09-25 16:00:00,2024-09-25 20:00:00,2024-12-18 00:00:00,growth_70_compound|D15|DX8|VOL1.2|SL2.5,False,growth_70_compound,15,8,1.2,2.5,risk_capped,"conservative,balanced,growth_70_compound",91.11654445876398,173,82.65895953757226,304.32197788042197,177.27516016479913,3.3399200956105943,3.3399200956105943,4043.21977880422,30,70.0,13.857181385342345,76.54632274469154,1.5583538654358393,1.5583538654358393,1138.5718138534235
1,2023-05-14 20:00:00,2024-09-25 16:00:00,2024-09-25 20:00:00,2024-12-18 00:00:00,conservative|D15|DX8|VOL1.5|SL1.5,False,conservative,15,8,1.5,1.5,risk_capped,"conservative,balanced,growth_70_compound",49.66839031554906,126,81.74603174603175,133.91908755116125,85.95931283755323,2.696263895414321,2.696263895414321,2339.1908755116124,19,78.94736842105263,8.239769598275984,41.45374275559104,1.4805749806548654,1.4805749806548654,1082.3976959827598
