total_pnl,max_dd,ending
595.65,17.940000000000055,1595.65
595.65,17.269999999999982,1595.65
595.65,17.549999999999955,1595.65
595.65,17.490000000000236,1595.65
595.65,17.220000000000027,1595.65
595.65,17.220000000000027,1595.65
595.65,18.830000000000155,1595.65
595.65,17.809999999999945,1595.65
595.65,17.220000000000027,1595.65
595.65,17.220000000000027,1595.65
595.65,17.220000000000027,1595.65
595.65,17.220000000000027,1595.65
595.65,17.920000000000073,1595.65
595.65,17.920000000000073,1595.65
595.65,17.220000000000027,1595.65
595.65,17.220000000000027,1595.65
595.65,18.0300000000002,1595.65
595.65,17.220000000000027,1595.65
595.65,17.220000000000027,1595.65
595.65,17.299999999999955,1595.65
595.65,17.700000000000045,1595.65
595.65,17.430000000000064,1595.65
595.65,17.220000000000027,1595.65
595.65,23.409999999999854,1595.65
595.65,18.2800000000002,1595.65
595.65,17.220000000000027,1595.65
595.65,17.220000000000027,1595.65
595.65,17.87000000000012,1595.65
595.65,17.220000000000027,1595.65
595.65,17.220000000000027,1595.65
595.65,17.220000000000027,1595.65
595.65,27.120000000000346,1595.65
595.65,17.63000000000011,1595.65
595.65,17.220000000000027,1595.65
595.65,28.3900000000001,1595.65
595.65,17.220000000000027,1595.65
595.65,17.600000000000136,1595.65
595.65,17.220000000000027,1595.65
595.65,17.430000000000064,1595.65
595.65,17.220000000000027,1595.65
595.65,27.059999999999945,1595.65
595.65,17.940000000000055,1595.65
595.65,17.220000000000027,1595.65
595.65,25.62000000000012,1595.65
595.65,17.220000000000027,1595.65
595.65,17.37000000000012,1595.65
595.65,17.220000000000027,1595.65
595.65,19.860000000000127,1595.65
595.65,27.54000000000019,1595.65
595.65,17.220000000000027,1595.65
595.65,25.16000000000031,1595.65
595.65,17.220000000000027,1595.65
595.65,17.980000000000246,1595.65
595.65,17.220000000000027,1595.65
595.65,17.220000000000027,1595.65
595.65,17.220000000000027,1595.65
595.65,18.920000000000073,1595.65
595.65,17.440000000000055,1595.65
595.65,27.1700000000003,1595.65
595.65,17.220000000000027,1595.65
595.65,17.940000000000055,1595.65
595.65,17.930000000000064,1595.65
595.65,17.220000000000027,1595.65
595.65,17.220000000000027,1595.65
595.65,17.220000000000027,1595.65
595.65,17.220000000000027,1595.65
595.65,17.220000000000027,1595.65
595.65,18.860000000000127,1595.65
595.65,17.90000000000009,1595.65
595.65,18.15000000000009,1595.65
595.65,22.87000000000012,1595.65
595.65,27.690000000000055,1595.65
595.65,17.830000000000155,1595.65
595.65,17.220000000000027,1595.65
595.65,17.220000000000027,1595.65
595.65,17.220000000000027,1595.65
595.65,33.63000000000011,1595.65
595.65,17.220000000000027,1595.65
595.65,17.220000000000027,1595.65
595.65,17.220000000000027,1595.65
595.65,17.220000000000027,1595.65
595.65,17.660000000000082,1595.65
595.65,17.76000000000022,1595.65
595.65,17.57000000000005,1595.65
595.65,18.180000000000064,1595.65
595.65,17.220000000000027,1595.65
595.65,17.420000000000073,1595.65
595.65,17.220000000000027,1595.65
595.65,17.220000000000027,1595.65
595.65,17.220000000000027,1595.65
595.65,17.37000000000012,1595.65
595.65,17.220000000000027,1595.65
595.65,27.580000000000155,1595.65
595.65,17.88000000000011,1595.65
595.65,17.65000000000009,1595.65
595.65,17.910000000000082,1595.65
595.65,22.470000000000255,1595.65
595.65,17.220000000000027,1595.65
595.65,17.220000000000027,1595.65
595.65,17.220000000000027,1595.65
595.65,17.220000000000027,1595.65
595.65,17.330000000000155,1595.65
595.65,17.220000000000027,1595.65
595.65,19.180000000000064,1595.65
595.65,17.220000000000027,1595.65
595.65,17.220000000000027,1595.65
595.65,17.87000000000012,1595.65
595.65,18.060000000000173,1595.65
595.65,17.910000000000082,1595.65
595.65,17.220000000000027,1595.65
595.65,17.220000000000027,1595.65
595.65,20.410000000000082,1595.65
595.65,25.420000000000073,1595.65
595.65,17.470000000000027,1595.65
595.65,19.950000000000045,1595.65
595.65,17.809999999999945,1595.65
595.65,17.330000000000155,1595.65
595.65,17.220000000000027,1595.65
595.65,17.220000000000027,1595.65
595.65,17.220000000000027,1595.65
595.65,18.110000000000127,1595.65
595.65,17.220000000000027,1595.65
595.65,17.220000000000027,1595.65
595.65,17.220000000000027,1595.65
595.65,17.220000000000027,1595.65
595.65,17.870000000000005,1595.65
595.65,17.220000000000027,1595.65
595.65,17.220000000000027,1595.65
595.65,17.220000000000027,1595.65
595.65,17.220000000000027,1595.65
595.65,17.340000000000146,1595.65
595.65,17.220000000000027,1595.65
595.65,22.319999999999936,1595.65
595.65,17.220000000000027,1595.65
595.65,17.220000000000027,1595.65
595.65,17.220000000000027,1595.65
595.65,17.33000000000004,1595.65
595.65,17.220000000000027,1595.65
595.65,17.220000000000027,1595.65
595.65,17.220000000000027,1595.65
595.65,17.220000000000027,1595.65
595.65,17.220000000000027,1595.65
595.65,18.49000000000001,1595.65
595.65,17.220000000000027,1595.65
595.65,17.690000000000055,1595.65
595.65,17.220000000000027,1595.65
595.65,17.220000000000027,1595.65
595.65,17.87000000000012,1595.65
595.65,18.499999999999886,1595.65
595.65,17.220000000000027,1595.65
595.65,17.570000000000164,1595.65
595.65,17.65000000000009,1595.65
595.65,18.029999999999973,1595.65
595.65,18.039999999999964,1595.65
595.65,17.329999999999927,1595.65
595.65,26.76000000000022,1595.65
595.65,17.5,1595.65
595.65,17.220000000000027,1595.65
595.65,17.340000000000146,1595.65
595.65,17.220000000000027,1595.65
595.65,17.220000000000027,1595.65
595.65,17.450000000000045,1595.65
595.65,17.309999999999945,1595.65
595.65,22.960000000000036,1595.65
595.65,17.330000000000155,1595.65
595.65,18.039999999999964,1595.65
595.65,17.220000000000027,1595.65
595.65,17.329999999999927,1595.65
595.65,18.110000000000127,1595.65
595.65,18.070000000000164,1595.65
595.65,20.50000000000034,1595.65
595.65,17.220000000000027,1595.65
595.65,17.220000000000027,1595.65
595.65,17.87000000000012,1595.65
595.65,17.220000000000027,1595.65
595.65,17.660000000000082,1595.65
595.65,17.220000000000027,1595.65
595.65,17.690000000000055,1595.65
595.65,29.230000000000018,1595.65
595.65,17.220000000000027,1595.65
595.65,17.930000000000064,1595.65
595.65,33.63000000000011,1595.65
595.65,22.450000000000273,1595.65
595.65,17.37000000000012,1595.65
595.65,17.820000000000164,1595.65
595.65,17.75999999999999,1595.65
595.65,30.029999999999973,1595.65
595.65,17.690000000000055,1595.65
595.65,17.5,1595.65
595.65,17.220000000000027,1595.65
595.65,17.220000000000027,1595.65
595.65,17.220000000000027,1595.65
595.65,17.220000000000027,1595.65
595.65,17.910000000000082,1595.65
595.65,17.220000000000027,1595.65
595.65,17.220000000000027,1595.65
595.65,19.34999999999991,1595.65
595.65,17.220000000000027,1595.65
595.65,17.220000000000027,1595.65
595.65,17.910000000000082,1595.65
595.65,17.220000000000027,1595.65
595.65,32.5300000000002,1595.65
595.65,17.220000000000027,1595.65
595.65,17.440000000000055,1595.65
595.65,17.220000000000027,1595.65
595.65,17.220000000000027,1595.65
595.65,17.910000000000082,1595.65
595.65,17.220000000000027,1595.65
595.65,18.580000000000155,1595.65
595.65,17.220000000000027,1595.65
595.65,18.920000000000073,1595.65
595.65,17.220000000000027,1595.65
595.65,17.5,1595.65
595.65,17.910000000000082,1595.65
595.65,17.220000000000027,1595.65
595.65,18.1400000000001,1595.65
595.65,17.25999999999999,1595.65
595.65,17.81000000000006,1595.65
595.65,17.220000000000027,1595.65
595.65,17.230000000000018,1595.65
595.65,17.220000000000027,1595.65
595.65,17.420000000000073,1595.65
595.65,17.220000000000027,1595.65
595.65,18.289999999999964,1595.65
595.65,17.63000000000011,1595.65
595.65,19.970000000000027,1595.65
595.65,17.5,1595.65
595.65,17.220000000000027,1595.65
595.65,17.220000000000027,1595.65
595.65,17.220000000000027,1595.65
595.65,17.63000000000011,1595.65
595.65,17.300000000000182,1595.65
595.65,22.560000000000173,1595.65
595.65,17.220000000000027,1595.65
595.65,17.220000000000027,1595.65
595.65,17.220000000000027,1595.65
595.65,17.930000000000064,1595.65
595.65,17.220000000000027,1595.65
595.65,18.000000000000227,1595.65
595.65,17.220000000000027,1595.65
595.65,17.690000000000055,1595.65
595.65,17.220000000000027,1595.65
595.65,17.220000000000027,1595.65
595.65,17.220000000000027,1595.65
595.65,17.309999999999945,1595.65
595.65,17.220000000000027,1595.65
595.65,17.910000000000082,1595.65
595.65,18.920000000000073,1595.65
595.65,17.26000000000022,1595.65
595.65,17.5,1595.65
595.65,18.139999999999986,1595.65
595.65,18.1400000000001,1595.65
595.65,17.5,1595.65
595.65,17.970000000000027,1595.65
595.65,17.220000000000027,1595.65
595.65,17.220000000000027,1595.65
595.65,18.910000000000082,1595.65
595.65,17.38000000000011,1595.65
595.65,17.5,1595.65
595.65,17.74000000000001,1595.65
595.65,18.0300000000002,1595.65
595.65,43.059999999999945,1595.65
595.65,18.13000000000011,1595.65
595.65,17.220000000000027,1595.65
595.65,17.90000000000009,1595.65
595.65,17.220000000000027,1595.65
595.65,17.579999999999927,1595.65
595.65,17.220000000000027,1595.65
595.65,17.220000000000027,1595.65
595.65,17.220000000000027,1595.65
595.65,17.220000000000027,1595.65
595.65,17.220000000000027,1595.65
595.65,19.340000000000146,1595.65
595.65,17.220000000000027,1595.65
595.65,17.220000000000027,1595.65
595.65,17.730000000000246,1595.65
595.65,20.440000000000055,1595.65
595.65,23.910000000000082,1595.65
595.65,17.820000000000164,1595.65
595.65,17.220000000000027,1595.65
595.65,17.480000000000246,1595.65
595.65,17.220000000000027,1595.65
595.65,17.220000000000027,1595.65
595.65,17.950000000000045,1595.65
595.65,17.220000000000027,1595.65
595.65,17.220000000000027,1595.65
595.65,17.220000000000027,1595.65
595.65,17.220000000000027,1595.65
595.65,17.5300000000002,1595.65
595.65,17.220000000000027,1595.65
595.65,17.220000000000027,1595.65
595.65,17.220000000000027,1595.65
595.65,17.220000000000027,1595.65
595.65,17.220000000000027,1595.65
595.65,17.65000000000009,1595.65
595.65,20.560000000000173,1595.65
595.65,23.43000000000029,1595.65
595.65,17.350000000000136,1595.65
