scenario,period,test_start,test_end,selected_candidate,selected_profile,selected_donchian,selected_donchian_exit,selected_volume_mult,selected_sl_atr_mult,fee_mult,slippage_mult,funding_cost_mult,test_trades,test_win_rate,test_return_pct,test_cagr_pct,test_max_dd_pct,test_max_dd_peak_pct,test_final_equity
slippage_3x,5,2025-08-24 04:00:00,2025-11-15 08:00:00,growth_70_compound|D15|DX8|VOL1.2|SL1.5,growth_70_compound,15,8,1.2,1.5,1.0,3.0,1.0,27,37.03703703703704,7.639123030988867,38.04772705095687,11.371807142308365,11.371807142308365,1076.3912303098887
slippage_3x,6,2025-11-15 12:00:00,2026-02-06 16:00:00,growth_70_compound|D15|DX8|VOL1.2|SL2.0,growth_70_compound,15,8,1.2,2.0,1.0,3.0,1.0,34,50.0,-8.139271607675392,-31.054028547071542,12.381582010048179,12.381582010048179,918.6072839232461
slippage_3x,7,2026-02-06 20:00:00,2026-05-01 00:00:00,growth_70_compound|D15|DX8|VOL1.5|SL2.0,growth_70_compound,15,8,1.5,2.0,1.0,3.0,1.0,22,31.818181818181817,-7.203181090881616,-27.92329428551431,10.599260520627714,10.599260520627714,927.9681890911838
funding_cost_2x,1,2024-09-24 20:00:00,2024-12-17 00:00:00,growth_70_compound|D15|DX8|VOL1.2|SL1.5,growth_70_compound,15,8,1.2,1.5,1.0,1.0,2.0,32,71.875,43.07003744991141,380.068561303498,2.9573444683315677,2.9573444683315677,1430.700374499114
funding_cost_2x,2,2024-12-17 04:00:00,2025-03-10 08:00:00,growth_70_compound|D15|DX8|VOL1.2|SL1.5,growth_70_compound,15,8,1.2,1.5,1.0,1.0,2.0,36,83.33333333333334,44.91040430583703,407.7104571298779,4.249313637379769,4.249313637379769,1449.1040430583703
funding_cost_2x,3,2025-03-10 12:00:00,2025-06-01 16:00:00,growth_70_compound|D15|DX8|VOL1.2|SL1.5,growth_70_compound,15,8,1.2,1.5,1.0,1.0,2.0,27,81.48148148148148,20.387303095119975,125.39454584107044,4.645048972166886,4.645048972166886,1203.8730309511998
funding_cost_2x,4,2025-06-01 20:00:00,2025-08-24 00:00:00,growth_70_compound|D15|DX8|VOL1.2|SL1.5,growth_70_compound,15,8,1.2,1.5,1.0,1.0,2.0,40,70.0,23.026007349724885,147.84864696806827,3.901267583200297,3.901267583200297,1230.2600734972489
funding_cost_2x,5,2025-08-24 04:00:00,2025-11-15 08:00:00,growth_70_compound|D15|DX8|VOL1.2|SL1.5,growth_70_compound,15,8,1.2,1.5,1.0,1.0,2.0,27,66.66666666666666,22.37762472262491,142.17808771506535,6.102442927230293,6.102442927230293,1223.776247226249
funding_cost_2x,6,2025-11-15 12:00:00,2026-02-06 16:00:00,growth_70_compound|D15|DX8|VOL1.2|SL2.0,growth_70_compound,15,8,1.2,2.0,1.0,1.0,2.0,34,67.64705882352942,9.637418607280619,49.630301500785976,5.13312430981821,5.13312430981821,1096.3741860728062
funding_cost_2x,7,2026-02-06 20:00:00,2026-05-01 00:00:00,growth_70_compound|D15|DX8|VOL1.5|SL2.0,growth_70_compound,15,8,1.5,2.0,1.0,1.0,2.0,22,68.18181818181817,5.225635981107439,24.99493922048215,5.0575460557489205,5.0575460557489205,1052.2563598110744
fee_slippage_2x,1,2024-09-24 20:00:00,2024-12-17 00:00:00,growth_70_compound|D15|DX8|VOL1.2|SL1.5,growth_70_compound,15,8,1.2,1.5,2.0,2.0,1.0,32,65.625,24.61538327590813,162.18259650218383,4.812668244739896,4.812668244739896,1246.1538327590813
fee_slippage_2x,2,2024-12-17 04:00:00,2025-03-10 08:00:00,growth_70_compound|D15|DX8|VOL1.2|SL1.5,growth_70_compound,15,8,1.2,1.5,2.0,2.0,1.0,36,77.77777777777779,36.01775436979926,284.7235131790464,4.6454340942704935,4.6454340942704935,1360.1775436979926
fee_slippage_2x,3,2025-03-10 12:00:00,2025-06-01 16:00:00,growth_70_compound|D15|DX8|VOL1.2|SL1.5,growth_70_compound,15,8,1.2,1.5,2.0,2.0,1.0,27,59.25925925925925,12.013907499710125,64.36567584823322,5.280040300559315,5.280040300559315,1120.1390749971013
fee_slippage_2x,4,2025-06-01 20:00:00,2025-08-24 00:00:00,growth_70_compound|D15|DX8|VOL1.2|SL1.5,growth_70_compound,15,8,1.2,1.5,2.0,2.0,1.0,40,55.00000000000001,7.121133239599635,35.16155949132638,5.045897319767608,5.045897319767608,1071.2113323959964
