symbol,periods,test_avg,test_total,test_pos,test_max_dd_avg,train_avg,test_pos_ratio,overfitting
BTC/USDT,7,-0.555714285714288,-3.8900000000000166,4,34.68428571428573,292.2871428571429,57.14285714285714,292.8428571428572
ETH/USDT,7,17.292857142857144,121.05000000000001,5,16.36142857142857,236.6614285714286,71.42857142857143,219.36857142857144
SOL/USDT,7,29.115714285714287,203.81,6,15.547142857142846,359.09285714285716,85.71428571428571,329.9771428571429
BNB/USDT,7,39.67,277.69,6,20.111428571428537,204.75142857142856,85.71428571428571,165.08142857142855
