period,train_sl,train_tg,train_ta,train_adx,train_score,train_trades,train_win_rate,train_total_pnl,train_max_dd,test_trades,test_win_rate,test_total_pnl,test_max_dd
1,2.5,0.15,1.0,25,1.2268915778346654,12,75.0,47.123000698559004,37.40844745362597,3,100.0,35.44505361450001,0.0
2,2.0,0.15,1.0,25,2.876116448894725,14,78.57142857142857,64.73207374962999,21.506763860171986,4,50.0,-32.3102585959982,21.144662695114448
3,2.0,0.15,1.0,25,4.105095665851246,12,83.33333333333334,102.78381719228176,24.03810521330888,2,50.0,-7.550843868377116,21.830458828177143
