symbol,entry_time,exit_time,side,entry,exit,size,notional,commission,slippage,funding,bars_held,exit_reason,soft_sl,hard_sl,liquidation_price,entry_equity,pnl_return_pct,risk_pct,risk_mult,risk_reasons,pnl,btc_return_pct,eth_return_pct,eth_minus_btc_pct,btc_realized_vol_pct,rotation_regime,rotation_alignment,rotation_overlay_fold,rotation_overlay_multiplier,rotation_overlay_reason,overlay_pnl,overlay_pnl_return_pct
TRX/USDT,2023-08-16 00:00:00+00:00,2023-08-16 04:00:00,short,0.08,0.08,47137.069065,3594.89,2.8759,5.3923,0.1797,1,soft_sl,0.0762,0.08,,1130.73,-0.534521,0.03297,0.824,daily:aligned|obv:aligned|vp:inside_value|funding_window|daily_close,-6.04,-0.7882205386003815,-1.1280919778924314,-0.3398714392920499,0.3225242711458645,mixed_neutral,neutral_rotation,,1.0,rotation_overlay:no_test_fold,-6.04,-0.534521
TRX/USDT,2023-08-16 20:00:00+00:00,2023-08-17 00:00:00,short,0.08,0.07,63176.150396,4724.79,3.7798,7.0872,0.2233,1,soft_sl,0.0739,0.07,,1124.686,9.040668,0.05,1.25,market:trend|adx:strong|daily:aligned|obv:aligned|vp:short_below_value,101.68,-1.0895089733263918,-2.0439354637333262,-0.9544264904069344,0.320886951865091,mixed_neutral,neutral_rotation,,1.0,rotation_overlay:no_test_fold,101.68,9.040668
TRX/USDT,2023-09-07 08:00:00+00:00,2023-09-07 08:00:00,long,0.08,0.08,43522.164101,3456.97,2.7656,5.1854,0.1728,1,soft_sl,0.08,0.08,,1226.3651,3.383283,0.04287,1.072,daily:aligned|obv:aligned|vp:long_above_value|funding_window,41.49,-0.7817737672325409,-0.17703869211138645,0.6047350751211544,0.31310501115861955,mixed_neutral,neutral_rotation,,1.0,rotation_overlay:no_test_fold,41.49,3.383283
DOGE/USDT,2023-09-10 12:00:00+00:00,2023-09-10 12:00:00,short,0.06,0.06,28270.460049,1720.12,1.3761,2.5802,0.086,1,soft_sl,0.06,0.06,,1267.8565,3.449507,0.035,0.875,market:trend|adx:trend|daily:aligned|obv:aligned|vp:short_below_value|weekend,43.73,0.34013737814013734,-0.19854563783554546,-0.5386830159756828,0.5425412408105678,mixed_neutral,neutral_rotation,,1.0,rotation_overlay:no_test_fold,43.73,3.449507
TRX/USDT,2023-09-12 16:00:00+00:00,2023-09-12 20:00:00,long,0.08,0.08,33004.94326,2713.82,2.1711,4.0707,0.1357,1,soft_sl,0.0823,0.08,,1311.5913,0.091275,0.04461,1.115,market:trend|adx:trend|daily:aligned|obv:aligned|rsi:hot_long|pattern:aligned|vp:long_above_value|funding_window,1.2,1.1996800853105727,-1.9284538718973065,-3.1281339572078792,0.8686050151288001,btc_only_strength,neutral_rotation,,1.0,rotation_overlay:no_test_fold,1.2,0.091275
LINK/USDT,2023-09-25 20:00:00+00:00,2023-09-26 00:00:00,long,7.45,7.49,211.766395,1582.4,1.2659,2.3736,0.0839,1,soft_sl,7.4928,7.34,,1312.7885,0.374515,0.05,1.25,adx:strong|daily:aligned|obv:aligned|vp:long_above_value,4.92,-0.77850790383448,-0.043980899723539135,0.7345270041109409,0.3213992915760407,mixed_neutral,neutral_rotation,,1.0,rotation_overlay:no_test_fold,4.92,0.374515
LINK/USDT,2023-09-27 16:00:00+00:00,2023-09-27 20:00:00,long,7.58,7.68,137.364091,1048.15,0.8385,1.5722,0.0524,1,soft_sl,7.676,7.5,,1317.7051,0.76118,0.03657,0.914,adx:strong|daily:aligned|obv:against|pattern:strong_contra|vp:inside_value|funding_window,10.03,-1.0261236166528631,0.6994282551403552,1.7255518717932183,0.7392602902766376,alt_resilient_down,neutral_rotation,,1.0,rotation_overlay:no_test_fold,10.03,0.76118
TRX/USDT,2023-09-27 16:00:00+00:00,2023-09-27 20:00:00,long,0.09,0.09,27681.010007,2365.32,1.8923,3.548,0.1183,1,soft_sl,0.0855,0.08,,1317.7051,-0.046858,0.02598,0.97,daily:aligned|obv:aligned|vp:inside_value|funding_window,-0.62,-1.0261236166528631,0.6994282551403552,1.7255518717932183,0.7392602902766376,alt_resilient_down,neutral_rotation,,1.0,rotation_overlay:no_test_fold,-0.62,-0.046858
LINK/USDT,2023-09-30 16:00:00+00:00,2023-09-30 20:00:00,long,8.22,8.24,113.387205,932.83,0.7463,1.3992,0.0466,1,soft_sl,8.2359,8.06,,1327.1177,-0.012673,0.03086,0.772,market:trend|adx:strong|daily:aligned|obv:aligned|rsi:hot_long|vp:long_above_value|weekend|funding_window,-0.17,2.634881757399188,5.093098645213279,2.458216887814091,0.586821306610698,eth_alt_leads_up,with_rotation,,1.0,rotation_overlay:no_test_fold,-0.17,-0.012673
TRX/USDT,2023-10-02 04:00:00+00:00,2023-10-02 04:00:00,long,0.09,0.09,40633.228817,3661.46,2.9292,5.4922,0.1831,1,soft_sl,0.09,0.09,,1326.9495,-1.322111,0.04453,1.113,adx:strong|daily:aligned|obv:aligned|rsi:hot_long|vp:long_above_value,-17.54,4.342985236373886,4.701299960019867,0.3583147236459805,0.832953848350366,mixed_neutral,neutral_rotation,,1.0,rotation_overlay:no_test_fold,-17.54,-1.322111
DOGE/USDT,2023-10-09 12:00:00+00:00,2023-10-09 16:00:00,short,0.06,0.06,44969.056076,2636.23,2.109,3.9543,0.8544,1,soft_sl,0.0586,0.06,,1309.4058,-0.207199,0.04899,1.225,market:trend|adx:strong|daily:aligned|obv:aligned|rsi:cold_short|vp:short_below_value,-2.71,-1.0598198198198183,-2.7074663402692822,-1.647646520449464,0.4184566336920176,mixed_neutral,neutral_rotation,,1.0,rotation_overlay:no_test_fold,-2.71,-0.207199
TRX/USDT,2023-10-16 04:00:00+00:00,2023-10-16 04:00:00,long,0.09,0.09,57417.043572,5080.26,4.0642,7.6204,0.254,1,soft_sl,0.09,0.09,,1306.6927,12.444334,0.0474,1.185,adx:strong|daily:aligned|obv:aligned|vp:inside_value,162.61,1.6881152057378834,1.5602145294978165,-0.12790067624006696,0.26658412227007255,mixed_neutral,neutral_rotation,,1.0,rotation_overlay:no_test_fold,162.61,12.444334
TRX/USDT,2023-10-16 12:00:00+00:00,2023-10-16 12:00:00,long,0.09,0.09,57181.545898,5078.58,4.0629,7.6179,0.2539,1,hard_sl,0.09,0.09,,1469.3019,8.411178,0.04432,1.108,market:trend|adx:strong|daily:aligned|obv:aligned|rsi:hot_long|vp:inside_value,123.59,3.458050943867752,2.3279280211641495,-1.1301229227036025,0.5849762117351263,btc_leads_up,with_rotation,,1.0,rotation_overlay:no_test_fold,123.59,8.411178
LINK/USDT,2023-10-20 16:00:00+00:00,2023-10-20 20:00:00,long,7.63,7.68,279.606183,2140.17,1.7121,3.2103,0.107,1,soft_sl,7.6784,7.55,,1592.8875,0.534722,0.04479,1.12,market:trend|adx:trend|daily:aligned|obv:aligned|vp:inside_value|funding_window,8.52,3.8420434651161184,1.9140518330824863,-1.927991632033632,0.7505654595539141,btc_leads_up,with_rotation,,1.0,rotation_overlay:no_test_fold,8.52,0.534722
LINK/USDT,2023-10-21 12:00:00+00:00,2023-10-21 20:00:00,long,8.05,8.89,198.562951,1682.57,1.3461,2.5239,0.1683,2,soft_sl,8.8945,8.75,,1601.4051,10.181843,0.035,0.875,market:trend|adx:strong|daily:aligned|obv:aligned|rsi:hot_long|pattern:aligned|vp:long_above_value|weekend,163.05,5.180161893297286,1.9042730493083138,-3.275888843988972,0.714111160079439,btc_leads_up,with_rotation,,1.0,rotation_overlay:no_test_fold,163.05,10.181843
TRX/USDT,2023-10-24 04:00:00+00:00,2023-10-24 08:00:00,long,0.09,0.09,39933.5811,3718.92,2.9751,5.5784,0.3719,1,soft_sl,0.0934,0.09,,1764.4576,0.70611,0.04453,1.113,adx:strong|daily:aligned|obv:aligned|rsi:hot_long|vp:long_above_value,12.46,15.140076374573352,13.276342570847044,-1.8637338037263085,1.534591128164765,btc_leads_up,with_rotation,,1.0,rotation_overlay:no_test_fold,12.46,0.70611
TRX/USDT,2023-10-31 08:00:00+00:00,2023-10-31 12:00:00,long,0.1,0.1,50537.385557,4859.12,3.8873,7.2887,0.243,1,soft_sl,0.0964,0.1,,1776.9166,1.001267,0.04266,1.067,adx:strong|daily:aligned|obv:aligned|pattern:contra|vp:inside_value|funding_window,17.79,0.2780616139905989,0.1694412911090737,-0.10862032288152523,0.5090855033073624,mixed_neutral,neutral_rotation,,1.0,rotation_overlay:no_test_fold,17.79,1.001267
DOGE/USDT,2023-11-06 20:00:00+00:00,2023-11-07 00:00:00,long,0.08,0.08,25608.201761,1953.27,1.5626,2.9299,0.0977,1,soft_sl,0.0765,0.07,,1794.7083,0.387044,0.04956,1.239,market:trend|adx:trend|daily:aligned|obv:aligned|rsi:hot_long|pattern:aligned|vp:long_above_value,6.95,1.6182814233691944,4.718502496023413,3.100221072654219,0.445887020415956,eth_alt_leads_up,with_rotation,,1.0,rotation_overlay:no_test_fold,6.95,0.387044
