period,train_start,train_end,test_start,test_end,selected_candidate,selected_profile,selected_donchian,selected_donchian_exit,selected_volume_mult,selected_sl_atr_mult,train_score,train_trades,train_win_rate,train_return_pct,train_cagr_pct,train_max_dd_pct,train_max_dd_peak_pct,train_final_equity,test_trades,test_win_rate,test_return_pct,test_cagr_pct,test_max_dd_pct,test_max_dd_peak_pct,test_final_equity
1,2023-05-13 20:00:00,2024-09-24 16:00:00,2024-09-24 20:00:00,2024-12-17 00:00:00,extreme_11pct|D15|DX8|VOL1.2|SL1.5,extreme_11pct,15,8,1.2,1.5,829.2127295445978,159,84.27672955974843,12296.769846635283,3273.768142458366,14.829451368153318,14.829451368153318,123967.69846635283,23,82.6086956521739,76.66311484223985,1109.2023137291137,8.039795507304955,8.039795507304955,1766.6311484223984
2,2023-08-05 04:00:00,2024-12-17 00:00:00,2024-12-17 04:00:00,2025-03-10 08:00:00,extreme_11pct|D15|DX8|VOL1.2|SL2.0,extreme_11pct,15,8,1.2,2.0,930.4405508368586,185,83.24324324324324,10594.308378539672,2928.8758557115075,11.386335611674404,11.386335611674404,106943.08378539672,36,83.33333333333334,112.76135905683469,2630.047921387988,8.648497307016607,8.648497307016607,2127.613590568347
3,2023-10-27 12:00:00,2025-03-10 08:00:00,2025-03-10 12:00:00,2025-06-01 16:00:00,extreme_11pct|D15|DX8|VOL1.2|SL1.5,extreme_11pct,15,8,1.2,1.5,475.2915168625168,177,85.31073446327684,7048.312435447115,2157.1923730184362,14.829451369076118,14.829451369076118,71483.12435447115,27,81.48148148148148,63.36488902139815,758.292272940935,11.531992698473333,11.531992698473333,1633.6488902139815
4,2024-01-18 20:00:00,2025-06-01 16:00:00,2025-06-01 20:00:00,2025-08-24 00:00:00,extreme_11pct|D15|DX8|VOL1.2|SL1.5,extreme_11pct,15,8,1.2,1.5,372.2221893967575,180,85.55555555555556,5519.850854717566,1793.6473161717693,14.8294513652271,14.8294513652271,56198.50854717566,37,70.27027027027027,78.62690602648802,1169.1919725557123,10.594277560333904,10.594277560333904,1786.2690602648802
5,2024-04-11 04:00:00,2025-08-24 00:00:00,2025-08-24 04:00:00,2025-11-15 08:00:00,extreme_11pct|D15|DX8|VOL1.2|SL2.0,extreme_11pct,15,8,1.2,2.0,298.1518131801579,196,81.63265306122449,3394.8566058704096,1238.7621760439072,11.386335604201312,11.386335604201312,34948.5660587041,26,76.92307692307693,182.03709766358756,9282.991382995237,8.561135232906416,8.561135232906416,2820.3709766358756
6,2024-07-03 12:00:00,2025-11-15 08:00:00,2025-11-15 12:00:00,2026-02-06 16:00:00,extreme_11pct|D15|DX8|VOL1.2|SL2.0,extreme_11pct,15,8,1.2,2.0,455.8911662021451,197,79.69543147208121,5190.92981578599,1712.0841449713446,11.386335600730414,11.386335600730414,52909.2981578599,34,64.70588235294117,25.038167252170208,166.10104820767765,14.114642980516148,14.114642980516148,1250.381672521702
7,2024-09-24 20:00:00,2026-02-06 16:00:00,2026-02-06 20:00:00,2026-05-01 00:00:00,extreme_11pct|D15|DX8|VOL1.2|SL2.0,extreme_11pct,15,8,1.2,2.0,298.7970142227385,197,77.15736040609137,4217.4131703270405,1462.1158420309716,14.114642950157346,14.114642950157346,43174.1317032704,30,70.0,21.809436269238883,137.29166728619197,14.875013535013151,14.875013535013151,1218.0943626923888
