symbol,trades,win_rate,total_pnl,max_dd,first_bar,last_bar,pnl_pct,dd_pct,pnl_dd
BTC/USDT,86,55.81395348837209,76.02999999999999,54.25,2023-05-01 20:00:00,2026-04-30 16:00:00,7.602999999999999,5.425,1.3761085972850677
ETH/USDT,77,63.63636363636363,243.94,39.81000000000017,2023-05-01 20:00:00,2026-04-30 16:00:00,24.394,3.981000000000017,5.977456505758367
SOL/USDT,90,72.22222222222221,473.8,71.70000000000005,2023-05-01 20:00:00,2026-04-30 16:00:00,47.38,7.170000000000004,6.517193947730395
BNB/USDT,70,57.14285714285714,79.11,63.51999999999998,2023-05-01 20:00:00,2026-04-30 16:00:00,7.911,6.351999999999998,1.2261314321140735
