profile,leverage,risk_basis,sleeve_risk_pct,first_trade_portfolio_risk_pct,max_concurrent,trades,win_rate,total_pnl,final_equity,return_pct,cagr_pct,max_dd,max_dd_pct,max_dd_peak_pct,calmar,commission,slippage,funding
conservative,3,portfolio,2.0,2.0,2,244,81.9672131147541,1425.8899999999999,2425.964044963181,142.59640449631812,34.36767008948895,79.16717938756074,7.916717938756074,3.866888573251509,4.341151264369667,161.81689999999998,303.4047,9.3324
balanced,5,portfolio,3.0,3.0,2,244,81.9672131147541,2754.57,3754.516187298439,275.4516187298439,55.42396847286486,168.32205525950394,16.832205525950393,5.776939738051323,3.2927335866602347,318.8107,597.7705,18.6483
growth_70_compound,10,portfolio,4.0,4.0,2,244,81.9672131147541,4786.91,5786.955719364072,478.6955719364072,79.53538323603016,317.0297196544493,31.70297196544493,7.671412007692267,2.508767421638602,566.1667,1061.5616999999997,33.480799999999995
growth_100_compound,10,portfolio,5.0,5.0,2,244,81.9672131147541,7884.340000000001,8884.289997353168,788.4289997353168,107.11310300430571,557.9522211122876,55.79522211122876,9.550318008484439,1.919754038988748,954.0104999999999,1788.7701000000002,56.87140000000001
extreme_10pct,10,portfolio,10.0,10.0,2,244,81.9672131147541,65527.23,66527.18559868437,6552.718559868437,305.1971515835875,5045.82582803904,504.58258280390396,16.424921691992957,0.6048507459128774,8883.3834,16656.343100000002,525.0133
extreme_11pct,10,portfolio,11.0,11.0,2,244,81.9672131147541,91181.3,92181.23079981082,9118.123079981082,351.73197687255345,7557.284293296732,755.7284293296733,18.023332103651317,0.4654211264548267,12718.372899999997,23846.949700000005,747.6211
