total_pnl,max_dd,ending
2077.87,65.59999999999991,3077.87
1867.51,77.74000000000001,2867.51
1551.18,77.74000000000001,2551.1800000000003
1887.05,65.34999999999991,2887.05
1880.92,77.73999999999978,2880.92
1866.26,77.74000000000001,2866.26
1547.71,65.34999999999991,2547.71
1444.24,77.74000000000001,2444.24
1714.53,80.20999999999958,2714.5299999999997
1547.04,77.74000000000001,2547.04
1785.6,77.74000000000001,2785.6
1629.28,77.73999999999978,2629.2799999999997
1922.84,96.35000000000014,2922.84
1791.1,65.34999999999991,2791.1
1820.51,79.25,2820.51
1705.37,65.34999999999991,2705.37
2135.92,29.11999999999989,3135.92
1992.99,6.870000000000118,2992.99
1871.1,101.82999999999947,2871.1
1879.47,77.74000000000001,2879.4700000000003
1662.03,91.13999999999987,2662.0299999999997
1940.59,77.73999999999978,2940.59
1997.61,65.34999999999991,2997.6099999999997
2110.68,33.36000000000013,3110.68
1954.83,29.11999999999989,2954.83
1996.1499999999999,65.34999999999991,2996.1499999999996
1806.49,77.74000000000001,2806.49
1970.1,77.74000000000001,2970.1
1662.34,92.33999999999946,2662.34
1669.76,77.74000000000001,2669.76
2018.56,77.99000000000001,3018.56
1863.24,6.669999999999845,2863.24
1541.0,77.74000000000001,2541.0
1906.05,65.34999999999991,2906.05
1949.62,65.34999999999991,2949.62
2052.31,65.34999999999991,3052.31
1477.51,65.34999999999991,2477.51
1804.05,65.34999999999991,2804.05
1749.5,65.35000000000002,2749.5
2066.57,29.11999999999989,3066.57
1677.3799999999999,65.34999999999991,2677.38
1929.55,77.74000000000001,2929.55
1597.66,77.73999999999978,2597.66
2128.97,77.74000000000001,3128.97
1843.94,76.8599999999999,2843.94
2008.03,81.37999999999988,3008.0299999999997
1866.21,77.73999999999978,2866.21
1781.09,6.6099999999999,2781.09
1939.71,65.34999999999991,2939.71
2171.93,65.34999999999991,3171.93
2049.54,65.34999999999991,3049.54
1893.28,65.34999999999991,2893.2799999999997
1743.17,77.74000000000001,2743.17
1852.03,31.399999999999636,2852.0299999999997
2135.98,65.34999999999991,3135.98
1634.27,77.74000000000001,2634.27
1876.69,77.74000000000001,2876.69
1784.73,65.34999999999991,2784.73
1898.46,77.73999999999978,2898.46
1952.16,65.34999999999991,2952.16
2210.6,6.619999999999891,3210.6
1764.6,77.74000000000001,2764.6
1838.44,29.11999999999989,2838.44
1386.61,65.34999999999991,2386.6099999999997
2236.63,77.73999999999978,3236.63
1742.5,87.7199999999998,2742.5
2055.4,77.74000000000001,3055.4
2035.22,77.73999999999978,3035.2200000000003
1640.53,77.74000000000001,2640.5299999999997
1823.71,78.01999999999998,2823.71
1789.65,65.34999999999991,2789.65
2035.78,77.74000000000001,3035.7799999999997
1847.33,65.34999999999991,2847.33
1796.16,65.34999999999991,2796.16
1794.72,65.35000000000002,2794.7200000000003
1932.67,65.34999999999991,2932.67
2005.16,65.34999999999991,3005.16
1956.3,77.74000000000001,2956.3
2079.33,5.380000000000109,3079.33
1637.39,67.62000000000012,2637.3900000000003
1732.22,77.73999999999978,2732.2200000000003
1838.47,65.34999999999991,2838.4700000000003
1312.89,109.12999999999988,2312.8900000000003
2174.65,65.34999999999991,3174.65
1879.78,29.11999999999989,2879.7799999999997
1857.24,65.34999999999991,2857.24
1760.18,77.73999999999978,2760.1800000000003
1847.67,77.74000000000001,2847.67
1882.67,77.73999999999978,2882.67
1980.84,77.73999999999978,2980.84
1882.8899999999999,65.34999999999991,2882.89
1523.01,77.74000000000001,2523.01
1683.22,65.34999999999991,2683.2200000000003
1906.21,29.11999999999989,2906.21
1748.94,77.73999999999978,2748.94
2103.89,6.6099999999999,3103.89
1756.42,77.74000000000001,2756.42
1846.16,65.34999999999991,2846.16
2034.35,77.73999999999978,3034.35
2043.97,29.11999999999989,3043.9700000000003
1745.8,77.74000000000001,2745.8
2143.58,79.63000000000011,3143.58
1801.1,65.34999999999991,2801.1
1673.55,77.74000000000001,2673.55
2261.92,77.73999999999978,3261.92
1773.78,77.74000000000001,2773.7799999999997
1640.07,68.43999999999983,2640.0699999999997
