ending,total_pnl,max_dd,max_dd_pct,max_dd_peak_pct,min_balance
6791.069999999999,5791.069999999999,232.5,23.25,6.4301300683944556,1000.0
6529.2,5529.2,236.69000000000005,23.669000000000008,13.00315890674358,1000.0
5570.669999999997,4570.669999999997,232.5,23.25,9.558657265607337,1000.0
5889.920000000004,4889.920000000004,235.0999999999999,23.50999999999999,20.660398561582248,847.2200000000003
5965.78,4965.78,251.7199999999998,25.17199999999998,8.770212217394784,1000.0
4525.549999999999,3525.5499999999993,233.37999999999988,23.33799999999999,11.89971179119306,957.89
5609.059999999996,4609.059999999996,233.09999999999945,23.309999999999945,4.0009131213129665,1000.0
5762.829999999999,4762.829999999999,375.39999999999964,37.539999999999964,6.984900780544975,1000.0
5175.860000000001,4175.860000000001,177.71000000000004,17.771000000000004,5.040860727465613,1000.0
4823.600000000001,3823.6000000000013,246.75,24.675,10.131805863513174,1000.0
5207.02,4207.02,171.77999999999975,17.177999999999972,10.924249238972426,1000.0
6040.040000000002,5040.040000000002,232.5,23.25,4.782612273108762,1000.0
5200.399999999999,4200.399999999999,235.85999999999967,23.585999999999967,6.163374098463457,991.79
5686.660000000002,4686.660000000002,233.32000000000016,23.332000000000015,8.033882380011883,1000.0
6853.169999999999,5853.169999999999,362.65999999999985,36.265999999999984,7.314436462060366,1000.0
6581.400000000003,5581.400000000003,59.84999999999991,5.984999999999991,2.2147554147716932,1000.0
6254.460000000003,5254.460000000003,167.59000000000015,16.759000000000015,3.628447338907679,1000.0
5506.360000000003,4506.360000000003,232.5,23.25,14.612991420759872,1000.0
6002.030000000001,5002.030000000001,373.9600000000014,37.39600000000014,15.420585797523417,1000.0
6747.010000000001,5747.010000000001,232.5,23.25,7.927307443145014,1000.0
6633.810000000002,5633.810000000002,400.09000000000015,40.009000000000015,13.23368405732866,1000.0
5538.740000000002,4538.740000000002,20.980000000000018,2.098000000000002,0.9191351145895312,1000.0
6175.970000000003,5175.970000000003,167.58999999999992,16.75899999999999,10.703906903665468,1000.0
6046.960000000005,5046.960000000005,280.24,28.023999999999997,17.95489492567913,1000.0
5317.569999999999,4317.569999999999,242.8699999999999,24.28699999999999,6.799278404827669,1000.0
