total_pnl,max_dd,ending_balance
76.02999999999999,81.24000000000001,1076.03
76.02999999999999,101.15999999999997,1076.03
76.02999999999999,155.18000000000052,1076.03
76.02999999999999,73.62000000000035,1076.03
76.02999999999999,72.61000000000013,1076.03
76.02999999999999,92.45000000000005,1076.03
76.02999999999999,60.710000000000036,1076.03
76.02999999999999,87.57000000000005,1076.03
76.02999999999999,139.17000000000007,1076.03
76.02999999999999,98.11000000000013,1076.03
76.02999999999999,146.3000000000004,1076.03
76.02999999999999,92.5300000000002,1076.03
76.02999999999999,98.99999999999989,1076.03
76.02999999999999,119.53999999999996,1076.03
76.02999999999999,155.82000000000028,1076.03
76.02999999999999,77.72000000000014,1076.03
76.02999999999999,109.8900000000001,1076.03
76.02999999999999,68.48000000000002,1076.03
76.02999999999999,170.44999999999993,1076.03
76.02999999999999,181.22000000000014,1076.03
76.02999999999999,160.80000000000075,1076.03
76.02999999999999,92.19000000000005,1076.03
76.02999999999999,146.94000000000005,1076.03
76.02999999999999,106.95000000000005,1076.03
76.02999999999999,90.04000000000042,1076.03
76.02999999999999,100.96000000000004,1076.03
76.02999999999999,108.76000000000045,1076.03
76.02999999999999,103.05999999999995,1076.03
76.02999999999999,127.77000000000066,1076.03
76.02999999999999,96.83999999999992,1076.03
76.02999999999999,171.4799999999999,1076.03
76.02999999999999,50.3599999999999,1076.03
76.02999999999999,66.12000000000023,1076.03
76.02999999999999,118.33000000000061,1076.03
76.02999999999999,101.7600000000001,1076.03
76.02999999999999,61.55000000000064,1076.03
76.02999999999999,96.71000000000015,1076.03
76.02999999999999,78.65999999999974,1076.03
76.02999999999999,156.4600000000005,1076.03
76.02999999999999,147.25000000000034,1076.03
76.02999999999999,80.05999999999972,1076.03
76.02999999999999,47.6099999999999,1076.03
76.02999999999999,162.51999999999987,1076.03
76.02999999999999,113.75999999999988,1076.03
76.02999999999999,64.0,1076.03
76.02999999999999,126.35000000000059,1076.03
76.02999999999999,85.12000000000012,1076.03
76.02999999999999,99.4500000000005,1076.03
76.02999999999999,94.55999999999995,1076.03
76.02999999999999,75.6099999999999,1076.03
76.02999999999999,125.36000000000013,1076.03
76.02999999999999,103.20999999999992,1076.03
76.02999999999999,67.47000000000003,1076.03
76.02999999999999,81.96000000000004,1076.03
76.02999999999999,85.00999999999988,1076.03
76.02999999999999,99.27999999999997,1076.03
76.02999999999999,85.57999999999993,1076.03
76.02999999999999,90.99000000000024,1076.03
76.02999999999999,119.14000000000033,1076.03
76.02999999999999,114.50999999999988,1076.03
76.02999999999999,100.43000000000006,1076.03
