symbol,entry_time,exit_time,side,entry,exit,size,notional,commission,slippage,funding,bars_held,exit_reason,soft_sl,hard_sl,risk_pct,risk_mult,risk_reasons,pnl
ETH/USDT,2023-10-13 00:00:00,2023-10-13 04:00:00,short,1538.82,1537.5,1.204338,1852.47,1.482,2.7787,0.0926,1,soft_sl,1537.5025,1555.88,0.03817,0.954,adx:strong|daily:aligned|obv:aligned|funding_window|daily_close,-2.77
SOL/USDT,2023-10-16 12:00:00,2023-10-16 20:00:00,long,23.13,23.98,61.665201,1452.49,1.162,2.1787,-0.1901,2,soft_sl,23.9769,23.62,0.03856,0.964,daily:aligned|obv:aligned|rsi:hot_long,48.95
SOL/USDT,2023-10-24 04:00:00,2023-10-24 08:00:00,long,31.38,31.72,24.494271,772.79,0.6182,1.1592,0.0773,1,soft_sl,31.72,30.5,0.0494,1.235,market:trend|adx:strong|daily:aligned|obv:aligned|vol:elevated,6.47
SOL/USDT,2023-10-25 20:00:00,2023-10-26 00:00:00,long,32.77,33.03,14.258008,469.09,0.3753,0.7036,0.0235,1,soft_sl,33.0301,31.67,0.03208,0.802,adx:strong|daily:aligned|obv:against|vol:high,2.61
SOL/USDT,2023-10-30 16:00:00,2023-10-30 20:00:00,long,35.05,35.05,23.614845,827.69,0.6622,1.2415,0.0414,1,soft_sl,35.0521,34.07,0.03817,0.954,adx:strong|daily:aligned|obv:aligned|rsi:hot_long|funding_window,-1.82
ETH/USDT,2023-10-30 16:00:00,2023-10-30 20:00:00,long,1820.83,1820.84,0.661738,1204.92,0.9639,1.8074,0.0602,1,soft_sl,1820.8385,1795.73,0.02735,1.021,daily:aligned|obv:aligned|funding_window,-2.83
SOL/USDT,2023-11-08 00:00:00,2023-11-08 04:00:00,long,42.98,43.46,12.165254,525.78,0.4206,0.7887,0.0263,1,soft_sl,43.463,41.83,0.03279,0.82,adx:trend|daily:aligned|obv:aligned|vol:elevated|funding_window|daily_close,4.69
SOL/USDT,2023-11-09 16:00:00,2023-11-09 16:00:00,long,46.45,43.1,16.104229,721.07,0.5769,1.0816,0.0361,1,soft_sl,43.1,41.42,0.04446,1.111,market:trend|adx:strong|daily:aligned|obv:aligned|vol:elevated|funding_window,-55.66
SOL/USDT,2023-11-10 16:00:00,2023-11-10 20:00:00,long,50.91,54.39,7.704516,405.64,0.3245,0.6085,0.0203,1,soft_sl,54.3862,52.02,0.03149,0.787,market:trend|adx:strong|daily:aligned|obv:aligned|vol:high|rsi:hot_long|funding_window,25.8
BNB/USDT,2023-11-15 20:00:00,2023-11-16 00:00:00,long,253.18,254.07,5.798003,1470.53,1.1764,2.2058,0.3177,1,soft_sl,254.0725,249.44,0.04536,1.134,daily:aligned|obv:aligned,1.47
BNB/USDT,2023-11-21 00:00:00,2023-11-21 04:00:00,long,253.26,266.13,3.601441,935.27,0.7482,1.4029,0.0468,1,soft_sl,266.129,260.41,0.0347,0.868,daily:aligned|obv:aligned|funding_window|daily_close,44.15
SOL/USDT,2023-12-03 08:00:00,2023-12-03 12:00:00,long,63.99,64.15,12.782935,818.98,0.6552,1.2285,0.0409,1,soft_sl,64.1501,62.64,0.03143,0.786,adx:strong|daily:aligned|obv:aligned|weekend|funding_window,0.17
