period,train_start,train_end,test_start,test_end,selected_profile,selected_train_return_pct,selected_train_max_dd_pct,selected_test_trades,selected_test_win_rate,selected_test_return_pct,selected_test_cagr_pct,selected_test_max_dd_pct,selected_test_max_dd_peak_pct,selected_test_final_equity,fixed_profile,fixed_test_trades,fixed_test_win_rate,fixed_test_return_pct,fixed_test_cagr_pct,fixed_test_max_dd_pct,fixed_test_max_dd_peak_pct,fixed_test_final_equity
1,2023-05-13 08:00:00,2024-09-24 04:00:00,2024-09-24 08:00:00,2024-12-16 12:00:00,balanced,86.52741563996094,4.190383691375406,20,80.0,9.320869031794496,47.747271804528644,1.2511813000000074,1.1460041895062525,1093.208690317945,growth_70_compound,20,80.0,12.593721903104846,68.12491910211978,1.7174415499999893,1.52801051020573,1125.9372190310485
2,2023-08-04 16:00:00,2024-12-16 12:00:00,2024-12-16 16:00:00,2025-03-09 20:00:00,balanced,89.9676304852391,3.9038018655206086,19,78.94736842105263,21.333892186766274,133.26078140558303,1.6766200170000047,1.3956879807548248,1213.3389218676627,growth_70_compound,19,78.94736842105263,28.999833710460255,205.0566375797909,2.368843773000003,1.8609036108284163,1289.9983371046026
3,2023-10-27 00:00:00,2025-03-09 20:00:00,2025-03-10 00:00:00,2025-06-01 04:00:00,growth_70_compound,173.5747073606104,5.34941065069022,13,92.3076923076923,14.954514396898343,84.12129321869676,1.23425393,1.1693650331261338,1149.5451439689834,growth_70_compound,13,92.3076923076923,14.954514396898343,84.12129321869676,1.23425393,1.1693650331261338,1149.5451439689834
4,2024-01-18 08:00:00,2025-06-01 04:00:00,2025-06-01 08:00:00,2025-08-23 12:00:00,growth_70_compound,183.66733267050833,4.804704280478563,27,74.07407407407408,11.623300113848266,61.86996723233504,8.296726257966792,7.665600209840563,1116.2330011384827,growth_70_compound,27,74.07407407407408,11.623300113848266,61.86996723233504,8.296726257966792,7.665600209840563,1116.2330011384827
5,2024-04-10 16:00:00,2025-08-23 12:00:00,2025-08-23 16:00:00,2025-11-14 20:00:00,conservative,67.42470499049679,6.366212701230392,16,93.75,7.700843778491821,38.39477160956712,1.6147373300000027,1.532659279159019,1077.0084377849182,growth_70_compound,16,93.75,15.924501681186825,91.02382680396268,3.400839050000013,3.0653099260993755,1159.2450168118683
6,2024-07-03 00:00:00,2025-11-14 20:00:00,2025-11-15 00:00:00,2026-02-06 04:00:00,conservative,66.57647821153607,5.881066545586531,22,72.72727272727273,3.110134212433354,14.356254478636599,1.6471319029999902,1.6113723108088711,1031.1013421243335,growth_70_compound,22,72.72727272727273,6.297169622039268,30.666737908961416,3.3669040749999906,3.2227453088543188,1062.9716962203927
7,2024-09-24 08:00:00,2026-02-06 04:00:00,2026-02-06 08:00:00,2026-04-30 12:00:00,conservative,52.63037637283951,5.226152382457689,19,94.73684210526315,4.779102202170157,22.688276953788456,1.5061955535350307,1.4277977135666025,1047.7910220217016,growth_70_compound,19,94.73684210526315,9.711647032133737,50.074525484770824,3.176380917130018,2.8555912873944376,1097.1164703213374
