timestamp,equity,cash,open_positions
2023-05-05 04:00:00,1000.0,1000.0,0
2023-05-05 08:00:00,1000.0,1000.0,0
2023-05-05 12:00:00,1000.0,1000.0,0
2023-05-05 16:00:00,1000.0,1000.0,0
2023-05-05 20:00:00,1000.0,1000.0,0
2023-05-06 00:00:00,1000.0,1000.0,0
2023-05-06 04:00:00,1000.0,1000.0,0
2023-05-06 08:00:00,1000.0,1000.0,0
2023-05-06 12:00:00,1000.0,1000.0,0
2023-05-06 16:00:00,1000.0,1000.0,0
2023-05-06 20:00:00,1000.0,1000.0,0
2023-05-07 00:00:00,1000.0,1000.0,0
2023-05-07 04:00:00,1000.0,1000.0,0
2023-05-07 08:00:00,1000.0,1000.0,0
2023-05-07 12:00:00,1000.0,1000.0,0
2023-05-07 16:00:00,1000.0,1000.0,0
2023-05-07 20:00:00,1000.0,1000.0,0
2023-05-08 00:00:00,1000.0,1000.0,0
2023-05-08 04:00:00,1000.0,821.66979927,1
2023-05-08 08:00:00,819.9277098,821.66979927,1
2023-05-08 12:00:00,819.55561302,1002.3245924757724,0
2023-05-08 16:00:00,1002.3245924757724,1002.3245924757724,0
2023-05-08 20:00:00,1002.3245924757724,938.4598872517724,1
2023-05-09 00:00:00,938.4320068507725,938.4598872517724,1
2023-05-09 04:00:00,937.9394530997724,1002.8013156421499,0
2023-05-09 08:00:00,1002.8013156421499,1002.8013156421499,0
2023-05-09 12:00:00,1002.8013156421499,1002.8013156421499,0
2023-05-09 16:00:00,1002.8013156421499,1002.8013156421499,0
2023-05-09 20:00:00,1002.8013156421499,1002.8013156421499,0
2023-05-10 00:00:00,1002.8013156421499,1002.8013156421499,0
2023-05-10 04:00:00,1002.8013156421499,1002.8013156421499,0
2023-05-10 08:00:00,1002.8013156421499,1002.8013156421499,0
2023-05-10 12:00:00,1002.8013156421499,1002.8013156421499,0
2023-05-10 16:00:00,1002.8013156421499,1002.8013156421499,0
2023-05-10 20:00:00,1002.8013156421499,1002.8013156421499,0
2023-05-11 00:00:00,1002.8013156421499,1002.8013156421499,0
2023-05-11 04:00:00,1002.8013156421499,1002.8013156421499,0
2023-05-11 08:00:00,1002.8013156421499,1002.8013156421499,0
2023-05-11 12:00:00,1002.8013156421499,1002.8013156421499,0
2023-05-11 16:00:00,1002.8013156421499,1002.8013156421499,0
2023-05-11 20:00:00,1002.8013156421499,856.8522649988166,1
2023-05-12 00:00:00,861.2553883088166,856.8522649988166,1
2023-05-12 04:00:00,861.8823702688165,1006.0626475196381,0
2023-05-12 08:00:00,1006.0626475196381,1006.0626475196381,0
2023-05-12 12:00:00,1006.0626475196381,1006.0626475196381,0
2023-05-12 16:00:00,1006.0626475196381,1006.0626475196381,0
2023-05-12 20:00:00,1006.0626475196381,1006.0626475196381,0
2023-05-13 00:00:00,1006.0626475196381,1006.0626475196381,0
2023-05-13 04:00:00,1006.0626475196381,1006.0626475196381,0
2023-05-13 08:00:00,1006.0626475196381,1006.0626475196381,0
2023-05-13 12:00:00,1006.0626475196381,1006.0626475196381,0
2023-05-13 16:00:00,1006.0626475196381,1006.0626475196381,0
2023-05-13 20:00:00,1006.0626475196381,1006.0626475196381,0
2023-05-14 00:00:00,1006.0626475196381,1006.0626475196381,0
2023-05-14 04:00:00,1006.0626475196381,1006.0626475196381,0
