timestamp,equity,wallet,unrealized,used_margin,available_margin,open_positions
2023-05-13 08:00:00,1000.0,1000.0,0.0,0.0,1000.0,0
2023-05-13 12:00:00,1000.0,1000.0,0.0,0.0,1000.0,0
2023-05-13 16:00:00,1000.0,1000.0,0.0,0.0,1000.0,0
2023-05-13 20:00:00,1000.0,1000.0,0.0,0.0,1000.0,0
2023-05-14 00:00:00,1000.0,1000.0,0.0,0.0,1000.0,0
2023-05-14 04:00:00,1000.0,1000.0,0.0,0.0,1000.0,0
2023-05-14 08:00:00,1000.0,1000.0,0.0,0.0,1000.0,0
2023-05-14 12:00:00,1000.0,1000.0,0.0,0.0,1000.0,0
2023-05-14 16:00:00,1000.0,1000.0,0.0,0.0,1000.0,0
2023-05-14 20:00:00,1000.0,1000.0,0.0,0.0,1000.0,0
2023-05-15 00:00:00,1000.0,1000.0,0.0,0.0,1000.0,0
2023-05-15 04:00:00,1000.0,1000.0,0.0,0.0,1000.0,0
2023-05-15 08:00:00,1000.0,1000.0,0.0,0.0,1000.0,0
2023-05-15 12:00:00,1000.0,1000.0,0.0,0.0,1000.0,0
2023-05-15 16:00:00,1000.0,1000.0,0.0,0.0,1000.0,0
2023-05-15 20:00:00,1000.0,1000.0,0.0,0.0,1000.0,0
2023-05-16 00:00:00,1000.0,1000.0,0.0,0.0,1000.0,0
2023-05-16 04:00:00,1000.0,1000.0,0.0,0.0,1000.0,0
2023-05-16 08:00:00,1000.0,1000.0,0.0,0.0,1000.0,0
2023-05-16 12:00:00,1000.0,1000.0,0.0,0.0,1000.0,0
2023-05-16 16:00:00,1000.0,1000.0,0.0,0.0,1000.0,0
2023-05-16 20:00:00,1000.0,1000.0,0.0,0.0,1000.0,0
2023-05-17 00:00:00,1000.0,1000.0,0.0,0.0,1000.0,0
2023-05-17 04:00:00,1000.0,1000.0,0.0,0.0,1000.0,0
2023-05-17 08:00:00,1000.0,1000.0,0.0,0.0,1000.0,0
2023-05-17 12:00:00,1000.0,1000.0,0.0,0.0,1000.0,0
2023-05-17 16:00:00,1000.0,1000.0,0.0,0.0,1000.0,0
2023-05-17 20:00:00,1000.0,1000.0,0.0,0.0,1000.0,0
2023-05-18 00:00:00,1000.0,1000.0,0.0,0.0,1000.0,0
