method,iterations,ending_p05,ending_p50,ending_p95,pnl_p05,dd_p50_pct,dd_p95_pct,dd_max_pct,peak_dd_p50_pct,peak_dd_p95_pct,peak_dd_max_pct,loss_prob_pct,dd_gt_30_pct,dd_gt_50_pct
shuffle,5000,5807.314380176198,5807.314380176205,5807.314380176213,4807.314380176198,19.352631778866723,33.296397813056714,67.15098692408483,5.602277000000005,7.815835880978328,12.480422970233448,0.0,11.66,0.42
bootstrap,5000,4104.690938504631,5760.242289283111,8436.416932332559,3104.690938504631,17.364386043701572,36.104253584659965,89.8004309142092,5.602277000000002,8.685103623283757,20.814143775372823,0.0,11.42,0.72
block(b=5),5000,4103.375860693437,5741.2199385077565,8368.241987906396,3103.3758606934366,17.023721455532566,33.860903159360966,65.90134134252803,5.602276999999999,7.158857923872317,12.571663967863088,0.0,9.92,0.45999999999999996
