method,iters,pnl_p05,pnl_p50,pnl_p95,dd_p50,dd_p95,dd_max,pos_pct
shuffle,5000,595.65,595.65,595.65,17.220000000000027,27.77100000000021,43.059999999999945,100.0
bootstrap,5000,490.793,593.78,703.505,17.220000000000027,30.263000000000225,59.17000000000007,100.0
block(b=5),5000,501.149,597.375,702.701,17.220000000000027,22.41000000000031,41.43000000000029,100.0
