period,train_start,train_end,test_start,test_end,selected_candidate,selected_profile,selected_donchian,selected_donchian_exit,selected_volume_mult,selected_sl_atr_mult,selector_mode,profile_universe,train_score,train_trades,train_win_rate,train_return_pct,train_cagr_pct,train_max_dd_pct,train_max_dd_peak_pct,train_final_equity,test_trades,test_win_rate,test_return_pct,test_cagr_pct,test_max_dd_pct,test_max_dd_peak_pct,test_final_equity
1,2023-05-13 20:00:00,2024-09-24 16:00:00,2024-09-24 20:00:00,2024-12-17 00:00:00,growth_70_compound|D15|DX8|VOL1.2|SL1.5,growth_70_compound,15,8,1.2,1.5,risk_capped,"conservative,balanced,growth_70_compound",155.0513064849194,176,80.68181818181817,836.118476246005,411.76607892700713,5.3925277716207285,5.3925277716207285,9361.18476246005,32,71.875,43.67538932427785,389.02924984644756,2.9527958484799077,2.9527958484799077,1436.7538932427785
2,2023-08-05 04:00:00,2024-12-17 00:00:00,2024-12-17 04:00:00,2025-03-10 08:00:00,growth_70_compound|D15|DX8|VOL1.2|SL1.5,growth_70_compound,15,8,1.2,1.5,risk_capped,"conservative,balanced,growth_70_compound",173.3156265314489,190,80.52631578947368,934.6093295093482,450.5373206661847,5.392527772674664,5.392527772674664,10346.093295093482,36,83.33333333333334,45.189964051432774,412.01454460988833,4.240510960434235,4.240510960434235,1451.8996405143278
3,2023-10-27 12:00:00,2025-03-10 08:00:00,2025-03-10 12:00:00,2025-06-01 16:00:00,growth_70_compound|D15|DX8|VOL1.2|SL1.5,growth_70_compound,15,8,1.2,1.5,risk_capped,"conservative,balanced,growth_70_compound",93.54274032421151,198,80.8080808080808,504.43182576563606,271.86349457175436,5.392527779465477,5.392527779465477,6044.31825765636,27,81.48148148148148,20.60745987237444,127.2055146712674,4.624702912880722,4.624702912880722,1206.0745987237444
4,2024-01-18 20:00:00,2025-06-01 16:00:00,2025-06-01 20:00:00,2025-08-24 00:00:00,growth_70_compound|D15|DX8|VOL1.2|SL1.5,growth_70_compound,15,8,1.2,1.5,risk_capped,"conservative,balanced,growth_70_compound",84.24463617940584,201,81.09452736318407,454.2915391454996,249.0831788354004,5.392527759014219,5.392527759014219,5542.915391454996,40,70.0,23.575304816761786,152.7323315364101,3.8874475969886433,3.8874475969886433,1235.7530481676179
5,2024-04-11 04:00:00,2025-08-24 00:00:00,2025-08-24 04:00:00,2025-11-15 08:00:00,growth_70_compound|D15|DX8|VOL1.2|SL1.5,growth_70_compound,15,8,1.2,1.5,risk_capped,"conservative,balanced,growth_70_compound",69.68362226871548,201,78.1094527363184,375.7708693945092,212.24854879649854,5.39252778716717,5.39252778716717,4757.708693945092,27,66.66666666666666,23.03219494321954,147.90325071203608,6.083298425766968,6.083298425766968,1230.3219494321954
6,2024-07-03 12:00:00,2025-11-15 08:00:00,2025-11-15 12:00:00,2026-02-06 16:00:00,growth_70_compound|D15|DX8|VOL1.2|SL2.0,growth_70_compound,15,8,1.2,2.0,risk_capped,"conservative,balanced,growth_70_compound",86.81821646092054,200,79.5,362.1301914919606,205.6877039720566,4.171131431327735,4.171131431327735,4621.301914919606,34,67.64705882352942,10.448131012327917,54.537422998096005,5.13312430981821,5.13312430981821,1104.4813101232792
7,2024-09-24 20:00:00,2026-02-06 16:00:00,2026-02-06 20:00:00,2026-05-01 00:00:00,growth_70_compound|D15|DX8|VOL1.5|SL2.0,growth_70_compound,15,8,1.5,2.0,risk_capped,"conservative,balanced,growth_70_compound",79.05093645573565,143,83.21678321678321,247.50272804182381,148.2558546910333,3.130927211474747,3.130927211474747,3475.027280418238,22,68.18181818181817,5.416128322857822,25.989087297851366,5.0450724177435635,5.0450724177435635,1054.1612832285782
